,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,namatanai,-3.6667,152.4333,299.05,81,95,0.62,PG,1619982983
1,mahebourg,-20.4081,57.7,297.15,94,20,3.09,MU,1619982981
2,winnemucca,40.973,-117.7357,287.15,44,90,5.14,US,1619982848
3,mar del plata,-38.0023,-57.5575,294.26,68,0,4.63,AR,1619982340
4,butaritari,3.0707,172.7902,301.6,74,100,6.1,KI,1619982984
5,cape town,-33.9258,18.4232,292.59,55,0,5.14,ZA,1619982911
6,chippewa falls,44.9369,-91.3929,294.15,43,75,2.57,US,1619982985
7,busselton,-33.65,115.3333,286.48,93,58,6.88,AU,1619982985
8,olafsvik,64.8945,-23.7142,276.84,55,0,5.07,IS,1619982986
9,saskylakh,71.9167,114.0833,270.53,87,100,3.23,RU,1619982986
10,vardo,70.3705,31.1107,271.15,74,20,2.57,NO,1619982987
11,komsomolskiy,40.4272,71.7189,293.15,56,100,3.09,UZ,1619982987
12,quetta,30.199,67.0097,290.74,56,96,0.99,PK,1619982987
13,aklavik,68.2191,-135.0107,272.15,74,75,2.57,CA,1619982988
14,rikitea,-23.1203,-134.9692,298.44,76,63,7.41,PF,1619982553
15,yellowknife,62.456,-114.3525,270.15,43,1,2.57,CA,1619982551
16,hermanus,-34.4187,19.2345,288.15,73,0,4.08,ZA,1619982331
17,port keats,-14.25,129.55,296.21,50,1,3.47,AU,1619982989
18,dikson,73.5069,80.5464,268.12,92,100,4.31,RU,1619982989
19,akyab,20.15,92.9,300.84,72,0,2.69,MM,1619982990
20,tera,14.0078,0.7531,310.95,7,6,3.83,NE,1619982990
21,kayerkan,69.3497,87.7602,262.94,91,32,1.88,RU,1619982991
22,atuona,-9.8,-139.0333,299.88,77,87,5.94,PF,1619982991
23,pljevlja,43.3333,19.3333,288.15,44,0,2.57,ME,1619982991
24,tasiilaq,65.6145,-37.6368,275.15,64,0,4.63,GL,1619982992
25,bredasdorp,-34.5322,20.0403,285.15,87,0,1.39,ZA,1619982992
